101	READ	1856	2
102	WRITE	1456	4
103	READ	1248	1
104	WRITE	1238	3
105	READ	1556	0
106	WRITE	1750	4
107	READ	1113	1
108	WRITE	1464	2
109	READ	1268	3
110	WRITE	1692	0
111	READ	1291	4
112	WRITE	1331	1
113	READ	1713	2
114	WRITE	1247	3
115	READ	1976	0
116	WRITE	1979	4
117	READ	1410	1
118	WRITE	1539	2
119	READ	1166	3
120	WRITE	1738	0
121	READ	1622	4
122	WRITE	1860	1
123	READ	1476	2
124	WRITE	1194	3
125	READ	1207	0
126	WRITE	1320	4
127	READ	1765	1
128	WRITE	1004	2
129	READ	1171	3
130	WRITE	1487	0
131	READ	1014	4
132	WRITE	1695	1
133	READ	1127	2
134	WRITE	1418	3
135	READ	1405	0
136	WRITE	1462	4
137	READ	1420	1
138	WRITE	1689	2
139	READ	1862	3
140	WRITE	1498	0
141	READ	1083	4
142	WRITE	1616	1
143	READ	1082	2
144	WRITE	1591	3
145	READ	1373	0
146	WRITE	1704	4
147	READ	1810	1
148	WRITE	1042	2
149	READ	1701	3
150	WRITE	1556	0
151	READ	1009	4
152	WRITE	1594	1
153	READ	1079	2
154	WRITE	1803	3
155	READ	1494	0
156	WRITE	1927	4
157	READ	1832	1
158	WRITE	1831	2
159	READ	1452	3
160	WRITE	1354	0
161	READ	1886	4
162	WRITE	1196	1
163	READ	1043	2
164	WRITE	1096	3
165	READ	1341	0
166	WRITE	1655	4
167	READ	1175	1
168	WRITE	1309	2
169	READ	1803	3
170	WRITE	1313	0
171	READ	1414	4
172	WRITE	1005	1
173	READ	1501	2
174	WRITE	1675	3
175	READ	1650	0
176	WRITE	1624	4
177	READ	1871	1
178	WRITE	1049	2
179	READ	1791	3
180	WRITE	1762	0
181	READ	1892	4
182	WRITE	1503	1
183	READ	1178	2
184	WRITE	1037	3
185	READ	1687	0
186	WRITE	1440	4
187	READ	1550	1
188	WRITE	1544	2
189	READ	1594	3
190	WRITE	1187	0
191	READ	1373	4
192	WRITE	1401	1
193	READ	1966	2
194	WRITE	1015	3
195	READ	1157	0
196	WRITE	1512	4
197	READ	1003	1
198	WRITE	1729	2
199	READ	1632	3
200	WRITE	1366	0
